yelp_id,meter1,meter2,meter3,meter4,meter5,meter6,meter7,meter8,meter9,meter10,resturant_name
wGl_DyNxSv8KUtYgiuLhmA,223043,223831,223429,223027,223217,223068,223466,223693,223996,223476,Bi-Rite Creamery
lJAGnYzku5zSaLnQ_T6_GQ,213043,213075,217056,217544,217102,213013,217307,213684,213018,213410,Brenda's French Soul Food
WavvLdfdP6g8aZTtbBQHTw,206810,206497,206813,206665,206605,206801,206403,207007,206530,206144,Gary Danko
ri7UUYmx21AgSpRsf4-9QA,223772,223476,223361,223693,223987,223831,223734,223068,223429,223027,Tartine Bakery & Cafe
76smcUUGRvq3k1MVPUXbnA,221741,221993,221915,221745,221811,221740,221095,221661,221800,221876,Mitchell's Ice Cream
Xg-FyjVKAN70LO4u4Z1ozg,197435,197080,197142,197567,197426,197760,197761,197425,197735,197566,Hog Island Oyster Co
oT08T3Vpn1I7jDmrBBRMTw,207118,210890,207850,210865,210586,210076,210907,210910,210958,210779,House of Prime Rib
eYXwVR4mMAjzkJnm5wneHQ,225380,225434,225235,225534,225525,225524,225464,225433,225734,225392,Burma Superstar
PsY5DMHxa5iNX_nX0T-qPA,201878,201853,201425,201016,201641,201460,201538,201362,201081,201918,Kokkari Estiatorio
ZoZjbOYR-apY8XvommlNUA,199290,199791,199956,199288,199592,199259,199796,199628,199031,199446,The House
ttarnopezxmp2ROB1N2PaA,219918,219098,219415,219096,219290,219132,219097,219720,219522,219441,Nopa
M0JTO3oyu6gxh1mfFjU-dA,228835,228674,228114,228366,228619,228811,228961,228222,228157,228675,San Tung
2XQm-uFcTS7oc8MFP-8olA,216689,216667,216898,216792,216480,216482,216666,216866,216061,216418,B Patisserie
SGRmnarrNuVEsAjYdEoA0w,221781,221226,221711,220359,221273,221248,221913,221029,221267,220289,El Farolito
f-m7-hyFzkf0HSEeQ2s-9A,207132,207053,207387,207783,207509,207731,207779,207784,207978,207403,Fog Harbor Fish House
gqVl3RprESEqkIPeJH0yOg,224157,224471,224281,224218,224041,224958,224158,224927,224914,224042,Zazie
hqQoVK0vadOX7_4gN1sh3g,213038,212901,213060,213052,212982,213678,213059,213042,213084,213053,Saigon Sandwich
PTFxtXS47ZVRCdZIrEWvGw,207896,208908,208693,208766,208623,207702,207808,207701,207700,208705,Golden Boy Pizza
KkAVX3Wb7E3lP5F_f_8pXg,212173,212655,212969,212103,212938,212065,212423,212656,212345,212483,Liholiho Yacht Club
-DrR38H1Abk0wCyu9XOLug,217306,217807,217749,217545,217359,217362,217240,217073,217396,217313,Sweet Maple
n6L5VIGunR51-D55C-eYeQ,223055,223766,223360,223789,223763,223228,223697,223271,223524,224000,Foreign Cinema
8dUaybEPHsZMgr1iKgqgMQ,207587,207808,207701,207567,207702,207031,207896,207856,207822,207700,Sotto Mare Oysteria & Seafood
mSMZJj2pFvttWLpcDmgrEA,207272,207965,207518,207920,207266,207851,207359,207696,207552,207704,Tony's Pizza Napoletana
m3xdxV8YNH5uh1N01xdnLA,199584,199589,199980,199697,199126,199790,199125,199946,199374,199905,Golden Gate Bakery
__I9HmtBMV4dDkEgT22V4g,219033,219460,219834,219409,219792,219419,219947,219974,219358,219825,Little Star Pizza
L5vSeC_sa3TUQW_lticqyA,225835,225788,225764,225516,225023,225733,225181,225180,225898,225710,Chapeau!
MvAo0hj9FXOeNL5PwBZ0fQ,207854,207656,207454,207536,207504,207994,207677,207814,207368,207986,Mama's On Washington Square
47OC_X6KkiDDQ4jwoCUjFg,220528,220222,220706,220566,220162,220192,220493,220553,220792,220029,Humphry Slocombe Ice Cream
PDhfVvcVXgBinZf5I6s1KQ,206464,206373,206924,206169,206738,206179,206802,206056,206567,206674,The Codmother Fish & Chips
JARsJVKLPgs_yC3cwDnp7g,221252,221629,221614,221715,221613,221104,221394,221055,221650,221091,La Taqueria
GXu3PD4IPsxIHpo011aydg,210145,210807,211694,210703,211394,210647,211354,211451,210780,211278,Bob's Donut & Pastry Shop
HHtpR0RslupSQ99GIIwW5A,217416,217917,217374,217535,217032,217119,217525,217173,217720,217120,Marufuku Ramen SF
Lz7ydUVmsr2DekT9enEhvw,215489,216005,215051,215306,215323,215973,215203,215706,215490,216003,Golden Gate Bridge
WV2fVK6OJfzn2BkRGpbP7A,227869,227436,227435,227813,227143,227988,227516,227613,227542,227277,Twin Peaks
QZQGRJZ4bZCmNoXjs3z1XQ,218371,218425,218548,218893,218535,219007,218509,218076,217395,218677,State Bird Provisions
