yelp_id,alias,categary_alias,categary_title,coordinates.latitude,coordinates.longitude,display_phone,distance,image_url,is_closed,location.address1,location.address2,location.address3,location.city,location.country,location.state,location.zip_code,name,phone,price,rating,review_count,url
wGl_DyNxSv8KUtYgiuLhmA,bi-rite-creamery-san-francisco,icecream,Desserts,37.761591,-122.425717,(415) 626-5600,946.3867385272524,https://s3-media2.fl.yelpcdn.com/bphoto/tLwFRwoq7jOTDBJHc6b5-w/o.jpg,False,3692 18th St,,,San Francisco,US,CA,94110,Bi-Rite Creamery,+14156265600,$,4.5,9468,https://www.yelp.com/biz/bi-rite-creamery-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
lJAGnYzku5zSaLnQ_T6_GQ,brendas-french-soul-food-san-francisco,breakfast_brunch,Breakfast & Brunch,37.7829016035273,-122.419043442957,(415) 345-8100,2885.38913097158,https://s3-media3.fl.yelpcdn.com/bphoto/mEzEYZ1lIM6mYfbKgHwCjw/o.jpg,False,652 Polk St,,,San Francisco,US,CA,94102,Brenda's French Soul Food,+14153458100,$$,4.0,10484,https://www.yelp.com/biz/brendas-french-soul-food-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
WavvLdfdP6g8aZTtbBQHTw,gary-danko-san-francisco,newamerican,American,37.80587,-122.42058,(415) 749-2060,5191.341803207417,https://s3-media3.fl.yelpcdn.com/bphoto/CAprIoeKQAYV9oUw9xBbmA/o.jpg,False,800 N Point St,,,San Francisco,US,CA,94109,Gary Danko,+14157492060,$$$$,4.5,5384,https://www.yelp.com/biz/gary-danko-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
ri7UUYmx21AgSpRsf4-9QA,tartine-bakery-and-cafe-san-francisco,bakeries,Bakeries,37.7614250022004,-122.424051321456,(415) 487-2600,1091.249585562033,https://s3-media2.fl.yelpcdn.com/bphoto/6XiycXBqBcgyjZ6QwpyEZw/o.jpg,False,600 Guerrero St,,,San Francisco,US,CA,94110,Tartine Bakery & Cafe,+14154872600,$$,4.0,7632,https://www.yelp.com/biz/tartine-bakery-and-cafe-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
76smcUUGRvq3k1MVPUXbnA,mitchells-ice-cream-san-francisco,icecream,Desserts,37.7442315,-122.422816,(415) 648-2300,2207.086160001414,https://s3-media4.fl.yelpcdn.com/bphoto/-BBzTTMsUwK7ZzoANiHYvg/o.jpg,False,688 San Jose Ave,,,San Francisco,US,CA,94110,Mitchell's Ice Cream,+14156482300,$,4.5,3844,https://www.yelp.com/biz/mitchells-ice-cream-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
Xg-FyjVKAN70LO4u4Z1ozg,hog-island-oyster-co-san-francisco,seafood,Seafood,37.795831,-122.393303,(415) 391-7117,5428.15670676801,https://s3-media2.fl.yelpcdn.com/bphoto/4avfA7HWOW_Bl0J_8J60rg/o.jpg,False,1 Ferry Bldg,,Shop 11,San Francisco,US,CA,94111,Hog Island Oyster Co,+14153917117,$$,4.5,5661,https://www.yelp.com/biz/hog-island-oyster-co-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
oT08T3Vpn1I7jDmrBBRMTw,house-of-prime-rib-san-francisco,tradamerican,American,37.79338,-122.4225,(415) 885-4605,3819.642257655711,https://s3-media4.fl.yelpcdn.com/bphoto/HLrjaMoAgYSac0vx71YpCA/o.jpg,False,1906 Van Ness Ave,,,San Francisco,US,CA,94109,House of Prime Rib,+14158854605,$$$,4.0,6851,https://www.yelp.com/biz/house-of-prime-rib-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
eYXwVR4mMAjzkJnm5wneHQ,burma-superstar-san-francisco-2,burmese,Burmese,37.782787322998,-122.462539672852,(415) 387-2147,3346.3513929682595,https://s3-media2.fl.yelpcdn.com/bphoto/CQljYYJrIWarCxsz02s-7A/o.jpg,False,309 Clement St,,,San Francisco,US,CA,94118,Burma Superstar,+14153872147,$$,4.0,6579,https://www.yelp.com/biz/burma-superstar-san-francisco-2?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
PsY5DMHxa5iNX_nX0T-qPA,kokkari-estiatorio-san-francisco,greek,Greek,37.796996,-122.399661,(415) 981-0983,5153.879756630951,https://s3-media2.fl.yelpcdn.com/bphoto/7StMTfE2srlcIu2opeTb3g/o.jpg,False,200 Jackson St,,,San Francisco,US,CA,94111,Kokkari Estiatorio,+14159810983,$$$,4.5,4368,https://www.yelp.com/biz/kokkari-estiatorio-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
ZoZjbOYR-apY8XvommlNUA,the-house-san-francisco,asianfusion,Asian Fusion,37.7986203,-122.4070251,(415) 986-8612,4911.928931733509,https://s3-media4.fl.yelpcdn.com/bphoto/VzVjR_JpC2Rr3DnuNvwePg/o.jpg,False,1230 Grant Ave,,,San Francisco,US,CA,94133,The House,+14159868612,$$$,4.5,4599,https://www.yelp.com/biz/the-house-san-francisco?adjust_creative=9xCdyIxzfV6J-Out6XR2FA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=9xCdyIxzfV6J-Out6XR2FA
