objectid,street_num,street_name,longitude,latitude,meter_type,point
197016,133,STEUART ST,-122.39265829860001,37.7929291994,SS,"(37.79292919936527, -122.39265829868762)"
197018,331,EMBARCADERO NORTH,-122.3968837109,37.7980651938,SS,"(37.79806519436348, -122.39688371089093)"
197026,511,COMMERCIAL ST,-122.4019826015,37.7943219979,SS,"(37.79432199832723, -122.4019826007808)"
197034,225,SANSOME ST,-122.4011625999,37.7928193015,SS,"(37.79281930205363, -122.40116260011312)"
197043,403,SANSOME ST,-122.4014367999,37.7941485987,SS,"(37.794148599417014, -122.40143680050025)"
197054,513,COMMERCIAL ST,-122.40208199959999,37.794309302100004,SS,"(37.794309301999355, -122.40208199948866)"
197082,5,EMBARCADERO NORTH,-122.39448279860001,37.7950664003,SS,"(37.79506639986329, -122.39448279894593)"
197136,11,MISSION ST,-122.3929524028,37.7933043008,-,"(37.79330430061455, -122.39295240346166)"
197153,76,JACKSON ST,-122.39733150010001,37.7972734001,SS,"(37.7972733999426, -122.39733150010477)"
197192,324,DRUMM ST,-122.39703419959999,37.797178399699995,SS,"(37.79717839978697, -122.39703419977404)"
197222,358,WASHINGTON ST,-122.399970917,37.7960035072,MS,"(37.79600350738803, -122.39997091661337)"
197251,407,BATTERY ST,-122.4004654993,37.7952311997,SS,"(37.7952312001629, -122.40046549857375)"
197261,309,BATTERY ST,-122.4002887976,37.7944175013,SS,"(37.794417500676296, -122.40028879838229)"
197336,311,DRUMM ST,-122.39713620180001,37.7967139975,SS,"(37.79671399827478, -122.39713620152432)"
197402,9,DRUMM ST,-122.3965831742,37.794008351900004,SS,"(37.79400835186094, -122.39658317372704)"
197424,203,DAVIS ST,-122.39793020270001,37.7946561006,-,"(37.79465610069907, -122.39793020348861)"
197435,0,EMBARCADERO NORTH,-122.3946142995,37.7964364001,MS,"(37.79643639990373, -122.39461430005727)"
197450,106,CLAY ST,-122.39712540030001,37.7954671,SS,"(37.79546709958522, -122.39712540018925)"
197542,203,DRUMM ST,-122.3969117009,37.795626199699996,MS,"(37.79562620033959, -122.39691170148375)"
197547,203,DRUMM ST,-122.3969154001,37.7956443996,MS,"(37.79564440038516, -122.39691540001625)"
197584,25,MAIN ST,-122.3958750998,37.7926967022,MS,"(37.79269670160576, -122.39587510045084)"
197601,16,MAIN ST,-122.3960345012,37.7926193987,MS,"(37.79261939891464, -122.39603450089022)"
197635,420,CLAY ST,-122.4011763015,37.7949458015,SS,"(37.794945802372716, -122.40117630072686)"
197655,310,EMBARCADERO NORTH,-122.3960306399,37.7977374838,SS,"(37.79773748373853, -122.39603064045262)"
197700,14,MAIN ST,-122.39615379799999,37.7927146004,MS,"(37.79271459974037, -122.3961537984871)"
197705,12,MAIN ST,-122.396256901,37.7927966983,MS,"(37.79279669767849, -122.39625690122529)"
197714,0,EMBARCADERO NORTH,-122.3946467989,37.7964186975,MS,"(37.7964186979103, -122.39464679909696)"
197747,222,WASHINGTON ST,-122.39889556690001,37.7961405784,MS,"(37.796140578340534, -122.39889556695118)"
197838,33,MISSION ST,-122.3934099988,37.792946902,SS,"(37.79294690168786, -122.39340999939655)"
197945,207,DRUMM ST,-122.39693599719999,37.7957456027,MS,"(37.79574560306531, -122.39693599721734)"
197959,424,SANSOME ST,-122.40138420059999,37.7946552009,SS,"(37.79465520074739, -122.40138420124799)"
197963,1,DAVIS ST,-122.39751870159999,37.7926701986,SS,"(37.79267019941049, -122.39751870226067)"
198016,203,PINE ST,-122.40001189870001,37.7921712016,SS,"(37.79217120223127, -122.40001189862689)"
198051,321,MONTGOMERY ST,-122.4027760995,37.7925513991,SS,"(37.79255139866376, -122.40277609858765)"
198065,220,SPEAR ST,-122.391971301,37.7907709991,SS,"(37.79077099916106, -122.39197130068675)"
198120,520,CALIFORNIA ST,-122.4034895,37.7928313994,SS,"(37.792831399218194, -122.40348949993378)"
198147,110,PINE ST,-122.3991200977,37.7923934002,SS,"(37.79239339961546, -122.39912009821377)"
198217,119,CALIFORNIA ST,-122.3982820974,37.7933462997,SS,"(37.79334629997749, -122.39828209747346)"
198318,407,KEARNY ST,-122.4043832009,37.7920478982,MS,"(37.79204789797891, -122.4043832009923)"
198331,439,BUSH ST,-122.4053070989,37.790527700300004,SS,"(37.79052770014462, -122.40530709934619)"
198348,199,STEUART ST,-122.39169079780001,37.7921575,SS,"(37.79215749991062, -122.39169079776333)"
198360,113,BATTERY ST,-122.39991360129999,37.7925932975,SS,"(37.79259329662752, -122.39991360094734)"
198380,67,HOWARD ST,-122.3921266009,37.7915044994,SS,"(37.79150449896789, -122.39212660143811)"
198469,9,SANSOME ST,-122.4007464163,37.7907924053,MS,"(37.7907924051812, -122.40074641652315)"
198500,18,MAIN ST,-122.3959912003,37.792584798200004,MS,"(37.79258479772067, -122.39599119948252)"
198545,122,BUSH ST,-122.40037650030001,37.7912756008,SS,"(37.79127560070151, -122.40037650034279)"
198550,18,SANSOME ST,-122.4005916023,37.7908099023,MS,"(37.79080990178111, -122.40059160256116)"
198578,410,PINE ST,-122.4031026975,37.7918933024,SS,"(37.79189330220437, -122.40310269782677)"
198584,327,PINE ST,-122.4018514973,37.7919372012,SS,"(37.79193720110474, -122.40185149755469)"
198594,204,MAIN ST,-122.3932818004,37.7904201996,MS,"(37.790420199904744, -122.39328179951704)"
198596,202,MAIN ST,-122.3933079016,37.7904410985,MS,"(37.7904410984117, -122.39330790225667)"
198684,245,MISSION ST,-122.3955849015,37.7912173019,MS,"(37.79121730160916, -122.39558490170404)"
198687,239,MISSION ST,-122.39555110010001,37.7912443028,MS,"(37.791244302934395, -122.39555109954667)"
198717,31,MAIN ST,-122.3958076981,37.7926429016,MS,"(37.792642901633734, -122.39580769746371)"
198724,219,MAIN ST,-122.3930147027,37.7904112981,MS,"(37.79041129842434, -122.3930147032399)"
198733,132,SPEAR ST,-122.3932745025,37.7918105003,SS,"(37.79181049990198, -122.39327450158218)"
198780,238,EMBARCADERO SOUTH,-122.39070390139999,37.7911522024,SS,"(37.79115220193845, -122.39070390129618)"
198790,211,BUSH ST,-122.40117823540001,37.791068006799996,SS,"(37.79106800690632, -122.40117823482444)"
198829,502,PINE ST,-122.404450502,37.791721199499996,SS,"(37.79172119987289, -122.40445050151249)"
198945,204,BATTERY ST,-122.39992069799999,37.7934141987,SS,"(37.7934141992682, -122.39992069787498)"
199019,13,01ST ST,-122.3986003974,37.7906859004,SS,"(37.790685900183796, -122.39860039733688)"
199081,1118,SANSOME ST,-122.40264720260001,37.8009174996,SS,"(37.8009174996102, -122.40264720277864)"
199135,301,SPEAR ST,-122.3907532987,37.7900038985,SS,"(37.790003898112204, -122.39075329936057)"
199162,313,EMBARCADERO SOUTH,-122.3896198978,37.7907793977,SS,"(37.790779398364265, -122.38961989754934)"
199222,124,FREMONT ST,-122.3960056004,37.7898121987,SS,"(37.78981219868954, -122.39600560019049)"
199231,122,GREEN ST,-122.40221180180001,37.800418899300006,SS,"(37.800418899096094, -122.40221180241218)"
199359,329,BUSH ST,-122.4032412001,37.7908039008,SS,"(37.79080390068033, -122.40324119999535)"
199366,22,FREMONT ST,-122.39768189719999,37.7911493023,SS,"(37.79114930223297, -122.3976818970032)"
199419,39,UNION ST,-122.40120749889999,37.801372799000006,SS,"(37.801372799183994, -122.40120749934282)"
199430,226,HOWARD ST,-122.394219998,37.7900669024,SS,"(37.79006690213263, -122.3942199975545)"
199438,736,JACKSON ST,-122.4077665002,37.7959257019,SS,"(37.795925701797536, -122.40776650020628)"
199471,1121,POWELL ST,-122.409927299,37.795318997399995,SS,"(37.79531899699641, -122.40992729920977)"
199479,161,BEALE ST,-122.3943071977,37.7900736024,SS,"(37.79007360234354, -122.39430719789246)"
199493,844,WASHINGTON ST,-122.4078844001,37.7950036981,SS,"(37.79500369813845, -122.40788439962454)"
199505,1029,STOCKTON ST,-122.4082946998,37.7956155994,-,"(37.79561559943357, -122.40829469966312)"
199534,926,BATTERY ST,-122.4012929164,37.800178605800006,SS,"(37.800178606006796, -122.40129291559316)"
199564,444,BROADWAY,-122.40537209780001,37.7981104002,-,"(37.79811039997479, -122.40537209831923)"
199707,1120,BATTERY ST,-122.40157379930001,37.8015747023,MS,"(37.80157470175591, -122.40157379876067)"
199712,37,SUTTER ST,-122.4019599983,37.7900144988,SS,"(37.7900144989091, -122.40195999750101)"
199766,131,GREEN ST,-122.4024158206,37.800274008600006,MS,"(37.80027400920743, -122.40241582155468)"
199787,435,BROADWAY,-122.4050080997,37.797996099,SS,"(37.797996098932565, -122.40500810056085)"
199830,729,EMBARCADERO NORTH,-122.4003773999,37.80201679740001,SS,"(37.80201679731983, -122.40037739947307)"
199938,73,FOLSOM ST,-122.39047670149999,37.790338001100004,SS,"(37.79033800139426, -122.39047670207559)"
199949,430,BUSH ST,-122.4049595014,37.7907075983,SS,"(37.79070759755882, -122.40495950047894)"
199971,210,MAIN ST,-122.3930434973,37.7902296008,MS,"(37.790229601384134, -122.3930434965359)"
199992,1324,SANSOME ST,-122.4029909167,37.802641505100006,SS,"(37.80264150463501, -122.40299091654946)"
200013,911,BATTERY ST,-122.4014009144,37.799916906,SS,"(37.79991690641132, -122.40140091384902)"
200026,919,KEARNY ST,-122.40533720120001,37.7967777,-,"(37.79677769979258, -122.40533720089861)"
200049,717,GRANT AVE,-122.406272398,37.7938970019,SS,"(37.793897001624664, -122.40627239851422)"
200091,408,JACKSON ST,-122.4022311975,37.7966163986,MS,"(37.79661639893457, -122.40223119662208)"
207628,415,COLUMBUS AVE,-122.4084038157,37.7989574072,-,"(37.7989574070223, -122.40840381602536)"
200108,811,GRANT AVE,-122.4064193998,37.7946344026,SS,"(37.79463440282147, -122.40641940003565)"
200111,322,BROADWAY,-122.4030912981,37.7984016993,SS,"(37.79840169874808, -122.40309129747688)"
200114,435,PACIFIC AVE,-122.4032533986,37.797309202,SS,"(37.797309202223936, -122.40325339865393)"
200144,814,KEARNY ST,-122.4049789977,37.7958034993,-,"(37.79580349932915, -122.40497899754084)"
