yelp_id,meter1,meter2,meter3,meter4,meter5,meter6,meter7,meter8,meter9,meter10,resturant_name
wGl_DyNxSv8KUtYgiuLhmA,229415,229613,229154,229775,229652,229745,229128,229199,229313,229227,Bi-Rite Creamery
lJAGnYzku5zSaLnQ_T6_GQ,229415,229652,229613,229128,229154,229745,229227,229313,229199,229775,Brenda's French Soul Food
WavvLdfdP6g8aZTtbBQHTw,229415,229652,229613,229128,229154,229775,229745,229313,229199,229227,Gary Danko
ri7UUYmx21AgSpRsf4-9QA,229415,229613,229652,229128,229154,229745,229227,229199,229313,229775,Tartine Bakery & Cafe
76smcUUGRvq3k1MVPUXbnA,229568,229415,229128,229154,229652,229227,229745,229775,229199,229313,Mitchell's Ice Cream
Xg-FyjVKAN70LO4u4Z1ozg,229415,229652,229775,229613,229154,229227,229745,229313,229199,229128,Hog Island Oyster Co
oT08T3Vpn1I7jDmrBBRMTw,229415,229652,229613,229775,229154,229227,229313,229199,229128,229745,House of Prime Rib
eYXwVR4mMAjzkJnm5wneHQ,229036,229652,229613,229128,229154,229745,229775,229313,229227,229199,Burma Superstar
ZoZjbOYR-apY8XvommlNUA,229415,229652,229775,229128,229613,229227,229745,229313,229199,229154,The House
PsY5DMHxa5iNX_nX0T-qPA,229415,229652,229613,229775,229154,229128,229745,229199,229313,229227,Kokkari Estiatorio
ttarnopezxmp2ROB1N2PaA,229415,229652,229154,229775,229613,229745,229128,229313,229199,229227,Nopa
M0JTO3oyu6gxh1mfFjU-dA,229415,229652,229613,229128,229154,229745,229775,229199,229313,229227,San Tung
2XQm-uFcTS7oc8MFP-8olA,229415,229652,229613,229128,229154,229775,229745,229313,229199,229227,B Patisserie
SGRmnarrNuVEsAjYdEoA0w,229613,229415,229128,229154,229652,229227,229745,229775,229199,229313,El Farolito
f-m7-hyFzkf0HSEeQ2s-9A,229415,229652,229613,229775,229154,229227,229313,229199,229128,229745,Fog Harbor Fish House
gqVl3RprESEqkIPeJH0yOg,229415,229652,229613,229775,229154,229313,229227,229128,229199,229745,Zazie
hqQoVK0vadOX7_4gN1sh3g,229415,229652,229613,229128,229154,229227,229745,229199,229313,229775,Saigon Sandwich
PTFxtXS47ZVRCdZIrEWvGw,229415,229652,229128,229613,229154,229745,229227,229775,229199,229313,Golden Boy Pizza
KkAVX3Wb7E3lP5F_f_8pXg,229415,229652,229613,229128,229154,229745,229227,229199,229313,229775,Liholiho Yacht Club
-DrR38H1Abk0wCyu9XOLug,229415,229652,229613,229775,229154,229199,229128,229313,229227,229745,Sweet Maple
