objectid,street_num,street_name,longitude,latitude,meter_type
197016,133,STEUART ST,-122.39265829860001,37.7929291994,SS
197018,331,EMBARCADERO NORTH,-122.3968837109,37.7980651938,SS
197026,511,COMMERCIAL ST,-122.4019826015,37.7943219979,SS
197034,225,SANSOME ST,-122.4011625999,37.7928193015,SS
197043,403,SANSOME ST,-122.4014367999,37.7941485987,SS
197054,513,COMMERCIAL ST,-122.40208199959999,37.794309302100004,SS
197082,5,EMBARCADERO NORTH,-122.39448279860001,37.7950664003,SS
197136,11,MISSION ST,-122.3929524028,37.7933043008,-
197153,76,JACKSON ST,-122.39733150010001,37.7972734001,SS
197192,324,DRUMM ST,-122.39703419959999,37.797178399699995,SS
197222,358,WASHINGTON ST,-122.399970917,37.7960035072,MS
197251,407,BATTERY ST,-122.4004654993,37.7952311997,SS
197261,309,BATTERY ST,-122.4002887976,37.7944175013,SS
197336,311,DRUMM ST,-122.39713620180001,37.7967139975,SS
197402,9,DRUMM ST,-122.3965831742,37.794008351900004,SS
197424,203,DAVIS ST,-122.39793020270001,37.7946561006,-
197435,0,EMBARCADERO NORTH,-122.3946142995,37.7964364001,MS
197450,106,CLAY ST,-122.39712540030001,37.7954671,SS
197542,203,DRUMM ST,-122.3969117009,37.795626199699996,MS
197547,203,DRUMM ST,-122.3969154001,37.7956443996,MS
197584,25,MAIN ST,-122.3958750998,37.7926967022,MS
197601,16,MAIN ST,-122.3960345012,37.7926193987,MS
197635,420,CLAY ST,-122.4011763015,37.7949458015,SS
197655,310,EMBARCADERO NORTH,-122.3960306399,37.7977374838,SS
197700,14,MAIN ST,-122.39615379799999,37.7927146004,MS
197705,12,MAIN ST,-122.396256901,37.7927966983,MS
197714,0,EMBARCADERO NORTH,-122.3946467989,37.7964186975,MS
197747,222,WASHINGTON ST,-122.39889556690001,37.7961405784,MS
197838,33,MISSION ST,-122.3934099988,37.792946902,SS
197945,207,DRUMM ST,-122.39693599719999,37.7957456027,MS
197959,424,SANSOME ST,-122.40138420059999,37.7946552009,SS
197963,1,DAVIS ST,-122.39751870159999,37.7926701986,SS
198016,203,PINE ST,-122.40001189870001,37.7921712016,SS
198051,321,MONTGOMERY ST,-122.4027760995,37.7925513991,SS
198065,220,SPEAR ST,-122.391971301,37.7907709991,SS
198120,520,CALIFORNIA ST,-122.4034895,37.7928313994,SS
198147,110,PINE ST,-122.3991200977,37.7923934002,SS
198217,119,CALIFORNIA ST,-122.3982820974,37.7933462997,SS
198318,407,KEARNY ST,-122.4043832009,37.7920478982,MS
198331,439,BUSH ST,-122.4053070989,37.790527700300004,SS
198348,199,STEUART ST,-122.39169079780001,37.7921575,SS
198360,113,BATTERY ST,-122.39991360129999,37.7925932975,SS
198380,67,HOWARD ST,-122.3921266009,37.7915044994,SS
198469,9,SANSOME ST,-122.4007464163,37.7907924053,MS
198500,18,MAIN ST,-122.3959912003,37.792584798200004,MS
198545,122,BUSH ST,-122.40037650030001,37.7912756008,SS
198550,18,SANSOME ST,-122.4005916023,37.7908099023,MS
198578,410,PINE ST,-122.4031026975,37.7918933024,SS
198584,327,PINE ST,-122.4018514973,37.7919372012,SS
198594,204,MAIN ST,-122.3932818004,37.7904201996,MS
198596,202,MAIN ST,-122.3933079016,37.7904410985,MS
198684,245,MISSION ST,-122.3955849015,37.7912173019,MS
198687,239,MISSION ST,-122.39555110010001,37.7912443028,MS
198717,31,MAIN ST,-122.3958076981,37.7926429016,MS
198724,219,MAIN ST,-122.3930147027,37.7904112981,MS
198733,132,SPEAR ST,-122.3932745025,37.7918105003,SS
198780,238,EMBARCADERO SOUTH,-122.39070390139999,37.7911522024,SS
198790,211,BUSH ST,-122.40117823540001,37.791068006799996,SS
198829,502,PINE ST,-122.404450502,37.791721199499996,SS
198945,204,BATTERY ST,-122.39992069799999,37.7934141987,SS
199019,13,01ST ST,-122.3986003974,37.7906859004,SS
199081,1118,SANSOME ST,-122.40264720260001,37.8009174996,SS
199135,301,SPEAR ST,-122.3907532987,37.7900038985,SS
199162,313,EMBARCADERO SOUTH,-122.3896198978,37.7907793977,SS
199222,124,FREMONT ST,-122.3960056004,37.7898121987,SS
199231,122,GREEN ST,-122.40221180180001,37.800418899300006,SS
199359,329,BUSH ST,-122.4032412001,37.7908039008,SS
199366,22,FREMONT ST,-122.39768189719999,37.7911493023,SS
199419,39,UNION ST,-122.40120749889999,37.801372799000006,SS
199430,226,HOWARD ST,-122.394219998,37.7900669024,SS
199438,736,JACKSON ST,-122.4077665002,37.7959257019,SS
199471,1121,POWELL ST,-122.409927299,37.795318997399995,SS
199479,161,BEALE ST,-122.3943071977,37.7900736024,SS
199493,844,WASHINGTON ST,-122.4078844001,37.7950036981,SS
199505,1029,STOCKTON ST,-122.4082946998,37.7956155994,-
199534,926,BATTERY ST,-122.4012929164,37.800178605800006,SS
199564,444,BROADWAY,-122.40537209780001,37.7981104002,-
199707,1120,BATTERY ST,-122.40157379930001,37.8015747023,MS
199712,37,SUTTER ST,-122.4019599983,37.7900144988,SS
199766,131,GREEN ST,-122.4024158206,37.800274008600006,MS
199787,435,BROADWAY,-122.4050080997,37.797996099,SS
199830,729,EMBARCADERO NORTH,-122.4003773999,37.80201679740001,SS
199938,73,FOLSOM ST,-122.39047670149999,37.790338001100004,SS
199949,430,BUSH ST,-122.4049595014,37.7907075983,SS
199971,210,MAIN ST,-122.3930434973,37.7902296008,MS
199992,1324,SANSOME ST,-122.4029909167,37.802641505100006,SS
200013,911,BATTERY ST,-122.4014009144,37.799916906,SS
200026,919,KEARNY ST,-122.40533720120001,37.7967777,-
